Loyalty Number,Year,Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed,Province,City,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Strict_Churn
100000,2025,10,5,5590,2235,1756,175.6,Alberta,Edmonton,Female,Doctorate,52323,Single,Star,17009,1
100001,2025,10,8,6320,3344,29,2.9,Alberta,Edmonton,Female,Bachelor,90764,Single,Star,19869,0
100002,2025,4,7,8694,2772,2251,225.1,Quebec,Quebec City,Female,Master,93442,Married,Nova,13049,0
100003,2025,4,3,3924,723,27,2.7,Alberta,Calgary,Female,College,58142,Single,Star,5777,0
100004,2025,8,9,9783,3987,121,12.1,Ontario,Ottawa,Female,Master,100393,Single,Nova,13052,0
100005,2025,7,1,1040,539,346,34.6,Ontario,Ottawa,Female,Bachelor,46879,Single,Aurora,15068,1
100006,2025,1,1,487,509,65,6.5,Ontario,Ottawa,Female,Doctorate,102550,Single,Nova,15549,0
100007,2025,3,1,386,351,236,23.6,Ontario,Ottawa,Female,Master,99122,Single,Nova,15253,1
100008,2025,1,0,0,0,0,0.0,Ontario,Toronto,Female,Bachelor,90585,Single,Nova,8700,0
100009,2025,12,4,5680,1660,167,16.7,Quebec,Quebec City,Female,Master,77304,Single,Aurora,19448,1
100010,2025,6,1,1476,377,5,0.5,Alberta,Edmonton,Male,Bachelor,74486,Single,Aurora,14759,1
100011,2025,10,10,3430,3240,2826,282.6,Alberta,Calgary,Female,Doctorate,51899,Married,Star,16605,1
100012,2025,2,5,3700,1040,329,32.9,Alberta,Edmonton,Female,College,54094,Married,Nova,13696,0
100013,2025,2,8,8720,3200,2075,207.5,Alberta,Edmonton,Female,Master,81319,Single,Star,17267,1
100014,2025,6,10,3460,4880,1119,111.9,British Columbia,Vancouver,Female,Doctorate,41409,Single,Aurora,19188,0
100015,2025,7,0,0,0,0,0.0,Ontario,Toronto,Male,Bachelor,91195,Married,Aurora,7339,1
100016,2025,3,1,970,442,18,1.8,Ontario,Toronto,Female,Bachelor,66444,Single,Aurora,9631,0
100017,2025,12,5,5885,1245,613,61.3,British Columbia,Victoria,Female,Doctorate,113667,Married,Aurora,17067,1
100018,2025,3,10,5840,3320,1471,147.1,British Columbia,Vancouver,Female,Doctorate,44867,Single,Star,11221,1
100019,2025,3,8,9112,2432,1215,121.5,Ontario,Toronto,Female,College,77177,Single,Aurora,10000,1
100020,2025,7,4,3064,1932,483,48.3,Ontario,Ottawa,Female,Doctorate,84922,Married,Nova,6851,0
